1,H,1,4,0,0,4,0
1,H,2,203,0,3,199,6
1,H,3,552,1,13,522,28
1,H,4,789,5,18,739,40
1,H,5,549,4,36,492,29
1,H,6,519,22,22,459,40
1,H,7,684,75,36,572,58
1,H,8,738,125,29,570,72
1,H,9,291,51,10,215,37
1,H,10,75,25,6,45,13
1,H,11,22,11,0,8,6
1,H,12,5,0,0,5,0
1,M,1,11,0,0,11,5
1,M,2,626,2,13,581,44
1,M,3,1820,25,64,1654,107
1,M,4,2000,38,56,1794,143
1,M,5,1492,40,41,1355,98
1,M,6,1174,75,29,997,110
1,M,7,1676,200,39,1352,146
1,M,8,947,138,19,727,120
1,M,9,316,64,5,225,40
1,M,10,85,21,2,50,21
1,M,11,51,19,1,27,5
1,M,12,5,0,0,5,0
2,H,1,9,0,0,9,1
2,H,2,284,1,1,273,12
2,H,3,1122,12,17,1067,74
2,H,4,1520,28,27,1404,168
2,H,5,1680,51,23,1522,217
2,H,6,1250,63,8,1122,183
2,H,7,1411,157,15,1168,230
2,H,8,1608,258,19,1291,252
2,H,9,826,149,6,656,103
2,H,10,232,48,1,177,28
2,H,11,109,43,1,62,8
2,H,12,15,2,0,12,2
2,M,1,16,1,0,12,3
2,M,2,1054,16,4,973,80
2,M,3,3414,78,47,3094,309
2,M,4,4218,149,96,3731,386
2,M,5,3748,146,67,3242,515
2,M,6,2813,168,45,2367,400
2,M,7,3587,577,45,2741,616
2,M,8,3257,521,25,2521,545
2,M,9,1216,213,9,892,202
2,M,10,393,88,1,275,60
2,M,11,164,55,2,98,26
2,M,12,23,1,0,21,1
2,N,5,6,0,0,5,1
2,N,6,7,0,0,6,1
2,N,7,2,0,0,1,1
2,N,8,2,0,0,1,1
2,N,9,1,0,0,1,0
3,H,1,2,0,0,2,0
3,H,2,130,1,4,121,4
3,H,3,469,6,18,420,37
3,H,4,461,15,12,416,31
3,H,5,328,13,10,280,36
3,H,6,293,21,6,249,38
3,H,7,423,74,15,298,58
3,H,8,364,69,7,269,47
3,H,9,118,19,1,88,18
3,H,10,32,11,0,21,2
3,H,11,22,3,0,17,3
3,H,12,18,0,1,16,2
3,M,1,4,0,0,4,0
3,M,2,391,6,6,355,33
3,M,3,1068,31,26,951,85
3,M,4,1009,49,25,865,99
3,M,5,727,36,12,614,88
3,M,6,578,52,16,444,89
3,M,7,651,117,20,448,98
3,M,8,330,57,10,231,48
3,M,9,108,15,3,71,23
3,M,10,37,11,1,22,3
3,M,11,19,4,2,10,3
3,M,12,25,1,0,22,2
4,H,1,5,0,0,5,0
4,H,2,113,0,5,106,2
4,H,3,382,2,15,346,29
4,H,4,609,15,44,517,50
4,H,5,862,21,77,719,79
4,H,6,810,47,121,615,43
4,H,7,660,61,71,489,59
4,H,8,610,101,71,398,70
4,H,9,276,61,13,185,32
4,H,10,97,23,6,63,17
4,H,11,44,10,1,20,13
4,H,12,10,0,0,10,0
4,M,1,3,0,0,2,1
4,M,2,326,2,17,286,26
4,M,3,904,9,50,793,76
4,M,4,1187,26,70,996,109
4,M,5,1133,51,68,929,122
4,M,6,841,59,53,660,91
4,M,7,824,87,54,628,65
4,M,8,637,89,27,465,68
4,M,9,257,52,4,173,39
4,M,10,107,24,3,71,12
4,M,11,49,12,2,34,6
4,M,12,2,0,0,1,1
5,H,1,10,0,0,9,3
5,H,2,479,1,12,453,28
5,H,3,1380,7,49,1272,117
5,H,4,1367,13,37,1281,104
5,H,5,1360,31,53,1228,137
5,H,6,1097,41,49,940,148
5,H,7,1561,174,87,1217,233
5,H,8,1843,320,102,1336,265
5,H,9,700,113,22,481,141
5,H,10,244,57,6,157,46
5,H,11,105,32,2,57,23
5,H,12,26,2,0,21,4
5,M,1,30,0,0,27,7
5,M,2,1973,6,61,1835,114
5,M,3,4102,42,156,3662,391
5,M,4,3687,68,110,3353,276
5,M,5,3448,97,86,3082,307
5,M,6,2786,157,90,2340,319
5,M,7,4075,636,161,3005,495
5,M,8,2548,428,90,1893,302
5,M,9,805,145,18,577,117
5,M,10,281,44,9,206,42
5,M,11,155,37,3,91,27
5,M,12,33,8,0,22,5
5,N,2,3,0,0,3,0
5,N,3,3,0,0,3,0
5,N,4,3,0,0,2,1
5,N,5,2,0,0,2,0
5,N,7,1,0,0,1,0
6,H,1,5,0,0,5,0
