1,1,1190,1037,151,1,0,0,1,919,265,6,0
1,2,180,124,56,0,0,0,0,98,54,28,0
2,1,2081,1517,531,22,9,0,2,1325,741,13,2
2,2,645,338,305,0,2,0,0,420,159,65,1
3,1,705,492,195,16,1,0,1,553,152,0,0
3,2,123,64,58,1,0,0,0,70,37,16,0
4,1,1476,1208,256,11,0,1,0,1269,194,13,0
4,2,117,48,69,0,0,0,0,71,31,15,0
5,1,2841,2231,583,10,9,2,6,2230,599,12,0
5,2,491,207,283,1,0,0,0,299,104,87,1
6,1,758,614,129,10,0,0,5,568,177,13,0
6,2,85,43,42,0,0,0,0,53,23,8,1
7,1,6821,4103,2007,513,7,21,170,5155,1481,176,9
7,2,296,146,150,0,0,0,0,198,78,20,0
8,1,4772,3096,1565,44,24,20,23,4114,623,28,7
8,2,457,205,252,0,0,0,0,307,118,32,0
9,1,2876,2261,609,6,0,0,0,1641,1147,69,19
9,2,2909,1170,1736,3,0,0,0,2102,606,197,4
10,1,4360,2998,1260,62,2,4,34,3856,462,39,3
10,2,180,83,97,0,0,0,0,122,31,27,0
11,1,8249,6432,1705,30,31,0,51,6892,1322,31,4
11,2,904,409,495,0,0,0,0,574,205,120,5
12,1,8499,5597,2552,260,6,24,60,7564,860,74,1
12,2,255,113,140,2,0,0,0,186,51,18,0
13,1,6419,5301,1032,49,3,1,33,5713,686,19,1
13,2,438,260,178,0,0,0,0,240,139,59,0
14,1,8860,6172,2504,129,17,9,29,6519,2263,74,4
14,2,1523,552,971,0,0,0,0,1075,308,138,2
15,1,12756,9512,3112,74,20,8,30,10114,2568,61,13
15,2,3292,1627,1665,0,0,0,0,2533,566,190,3
16,1,3777,2681,933,126,1,12,24,3268,485,24,0
16,2,731,310,420,1,0,0,0,550,144,37,0
17,1,1552,1233,304,14,0,0,1,1196,353,2,1
17,2,608,256,352,0,0,0,0,343,182,83,0
18,1,2342,1924,350,46,8,3,11,1979,349,14,0
18,2,125,56,69,0,0,0,0,79,31,15,0
19,1,4093,2839,1203,33,5,0,13,2742,1281,56,14
19,2,827,384,443,0,0,0,0,544,149,130,4
20,1,6571,4515,1755,244,1,9,47,5762,717,89,3
20,2,286,133,153,0,0,0,0,211,55,20,0
21,1,9284,6687,2457,113,3,1,23,8494,716,61,13
21,2,1247,612,635,0,0,0,0,910,254,83,0
22,1,2487,2037,408,13,1,4,24,2031,443,12,1
22,2,437,260,177,0,0,0,0,292,96,47,2
23,1,1332,989,321,16,4,0,2,1031,284,17,0
23,2,221,140,81,0,0,0,0,123,62,36,0
24,1,6665,5008,1595,41,5,2,14,5728,898,37,2
24,2,445,156,289,0,0,0,0,296,99,50,0
25,1,4813,3560,1172,52,2,15,12,4082,698,31,2
25,2,290,129,161,0,0,0,0,163,81,46,0
26,1,3162,2482,625,17,20,9,9,2655,484,21,2
26,2,399,216,183,0,0,0,0,245,106,45,3
27,1,4320,2983,1262,32,2,0,41,4014,289,17,0
27,2,206,100,106,0,0,0,0,138,42,26,0
28,1,3916,3153,725,13,7,1,17,3127,777,11,1
28,2,697,304,393,0,0,0,0,493,153,51,0
29,1,1447,1244,191,9,0,0,3,1211,225,11,0
29,2,249,148,101,0,0,0,0,163,64,22,0
30,1,17821,13530,3973,204,18,20,76,16123,1601,87,10
30,2,912,416,496,0,0,0,0,640,210,60,2
31,1,2464,1870,570,13,2,1,8,2130,314,20,0
31,2,415,167,248,0,0,0,0,297,78,39,1
32,1,4186,3350,809,18,7,0,2,3762,396,28,0
32,2,122,62,60,0,0,0,0,66,33,23,0
