1,1,1,1035,527,508,0
1,2,1,180,106,74,0
2,1,1,1965,1028,934,0
2,2,1,643,301,341,0
3,1,1,578,310,267,0
3,2,1,123,73,49,0
4,1,1,1233,369,857,0
4,2,1,117,56,61,0
5,1,1,2455,1353,1098,0
5,2,1,491,214,275,0
6,1,1,642,317,323,0
6,2,1,85,34,50,0
7,1,1,3290,204,3062,0
7,2,1,296,116,180,0
8,1,1,3967,1302,2653,0
8,2,1,457,221,236,0
9,1,1,2876,1328,1532,0
9,2,1,2909,608,2297,0
10,1,1,3562,786,2765,0
10,2,1,180,84,95,0
11,1,1,7351,2404,4935,0
11,2,1,904,264,640,0
12,1,1,7310,605,6683,0
12,2,1,255,59,195,0
13,1,1,4813,849,3958,0
13,2,1,438,163,275,0
14,1,1,7663,2036,5596,0
14,2,1,1523,491,1023,0
15,1,1,11944,3739,8178,0
15,2,1,3292,830,2458,0
16,1,1,2383,362,2007,0
16,2,1,731,197,531,0
17,1,1,1430,383,1042,0
17,2,1,608,188,420,0
18,1,1,1973,363,1593,0
18,2,1,125,51,73,0
19,1,1,3629,1980,1642,0
19,2,1,827,339,487,0
20,1,1,5083,136,4923,0
20,2,1,286,97,189,0
21,1,1,8238,1673,6551,0
21,2,1,1247,323,922,0
22,1,1,1811,480,1323,0
22,2,1,437,176,261,0
23,1,1,1152,532,620,0
23,2,1,221,154,67,0
24,1,1,5407,952,4448,0
24,2,1,445,140,305,0
25,1,1,3841,745,3087,0
25,2,1,290,172,117,0
26,1,1,2780,1111,1654,0
26,2,1,399,244,153,0
27,1,1,3780,891,2887,0
27,2,1,206,112,94,0
28,1,1,3310,1097,2200,0
28,2,1,697,197,499,0
29,1,1,1222,471,749,0
29,2,1,249,76,173,0
30,1,1,15330,1446,13846,0
30,2,1,912,285,626,0
31,1,1,2111,826,1275,0
31,2,1,415,219,194,0
32,1,1,3704,759,2934,0
32,2,1,122,41,81,0
1,1,2,0,238,794,2
1,2,2,0,33,147,0
2,1,2,3,417,1465,4
2,2,2,1,150,463,0
3,1,2,1,210,356,0
3,2,2,1,33,88,1
4,1,2,7,247,900,2
4,2,2,0,38,79,0
5,1,2,4,460,1931,8
5,2,2,2,91,388,4
6,1,2,2,223,412,1
6,2,2,1,19,65,1
7,1,2,24,164,2107,22
7,2,2,0,47,241,2
8,1,2,12,514,2862,19
8,2,2,0,91,357,2
9,1,2,16,742,2104,8
9,2,2,4,381,2501,11
10,1,2,11,911,2275,15
10,2,2,1,35,143,1
11,1,2,12,628,6313,25
11,2,2,0,133,765,0
12,1,2,22,321,5518,34
12,2,2,1,34,212,1
13,1,2,6,270,4043,11
13,2,2,0,70,367,0
14,1,2,31,747,6633,26
14,2,2,9,218,1277,6
15,1,2,27,1380,10237,28
15,2,2,4,433,2813,14
16,1,2,14,191,2032,11
16,2,2,3,106,614,4
17,1,2,5,90,1314,3
17,2,2,0,76,527,1
18,1,2,17,108,1725,5
18,2,2,1,33,91,1
19,1,2,7,752,2667,9
19,2,2,1,168,652,1
20,1,2,24,101,3617,54
20,2,2,0,36,236,1
21,1,2,14,818,6706,38
21,2,2,2,156,1082,4
22,1,2,8,279,1458,6
22,2,2,0,83,349,2
23,1,2,0,224,896,2
23,2,2,0,105,114,1
24,1,2,7,284,4166,13
24,2,2,0,77,365,1
25,1,2,9,245,3418,9
25,2,2,1,78,204,1
26,1,2,15,294,2367,3
26,2,2,2,80,310,1
27,1,2,2,219,3439,20
27,2,2,0,51,154,0
28,1,2,13,435,2695,19
28,2,2,1,71,602,4
29,1,2,2,259,955,2
29,2,2,0,26,222,0
30,1,2,38,475,12617,44
30,2,2,1,108,797,1
31,1,2,10,541,1522,14
31,2,2,2,102,307,2
32,1,2,11,456,3004,11
32,2,2,0,21,100,1
1,1,3,874,161,0,0
1,2,3,172,8,0,0
2,1,3,1660,303,2,0
2,2,3,614,29,0,0
3,1,3,460,118,0,0
3,2,3,116,7,0,0
4,1,3,517,709,7,0
4,2,3,103,14,0,0
5,1,3,1924,528,3,0
5,2,3,444,46,1,0
6,1,3,492,149,1,0
6,2,3,81,4,0,0
7,1,3,1527,1744,19,0
