1,1,825,802,16,5,1,1,11,5,1.04
1,2,405,327,38,35,3,2,9,3,1.30
1,3,11667,8375,1158,857,1229,48,1254,174,1.71
1,4,884,577,90,94,121,2,55,3,1.90
2,1,2240,1997,207,21,6,9,67,19,1.13
2,2,366,313,36,6,11,0,32,1,1.31
2,3,27462,19957,2199,1015,4012,279,2936,502,2.13
2,4,3944,3189,492,56,184,23,199,41,1.50
3,1,448,413,16,2,15,2,44,30,1.23
3,2,124,118,3,0,3,0,35,5,1.12
3,3,4458,2991,284,236,882,65,1120,179,2.23
3,4,662,498,56,11,89,8,135,13,1.87
4,1,618,588,22,2,4,2,38,1,1.08
4,2,741,736,2,1,2,0,5,3,1.02
4,3,7741,6035,471,337,883,15,371,29,1.73
4,4,872,720,57,25,69,1,77,5,1.53
5,1,2037,1925,87,11,12,2,27,6,1.08
5,2,1044,994,34,5,10,1,20,4,1.08
5,3,25753,18807,3083,1927,1833,103,1443,318,1.55
5,4,3113,2124,500,275,205,9,171,60,1.59
6,1,617,554,54,1,4,4,21,12,1.12
6,2,164,156,2,1,1,4,29,11,1.06
6,3,6821,4962,680,389,649,141,1142,314,1.64
6,4,789,630,79,23,31,26,94,32,1.33
7,1,766,752,7,0,3,4,24,10,1.03
7,2,1772,1752,7,0,3,10,586,30,1.01
7,3,8895,8037,229,127,445,57,961,176,1.38
7,4,1340,1232,54,16,32,6,98,55,1.21
8,1,2362,2241,84,5,19,13,49,15,1.09
8,2,1721,1643,24,39,8,7,106,47,1.08
8,3,29441,22696,1453,1120,3880,292,1469,554,1.91
8,4,2786,2328,175,54,208,21,116,39,1.57
9,1,4234,3491,675,39,20,9,14,40,1.20
9,2,136,84,35,9,8,0,4,1,1.65
9,3,67930,45695,12511,4379,5124,221,470,784,1.62
9,4,12988,8597,2977,589,786,39,77,89,1.57
10,1,1544,1487,40,5,7,5,29,10,1.06
10,2,1891,1867,17,1,4,2,205,6,1.02
10,3,18091,13996,1396,920,1725,54,1232,165,1.61
10,4,2878,2188,355,110,216,9,216,16,1.56
11,1,3190,3084,80,6,6,14,39,14,1.04
11,2,3858,3748,96,0,7,7,854,15,1.04
11,3,44449,35465,2596,1446,4554,388,2681,366,1.71
11,4,3052,2551,255,69,154,23,844,24,1.44
12,1,3400,3127,128,64,74,7,5,10,1.16
12,2,3794,3699,66,6,17,6,26,12,1.04
12,3,40509,32364,3699,1899,2443,104,352,160,1.45
12,4,4946,3323,1025,274,311,13,141,23,1.59
13,1,2095,1784,222,78,5,6,66,4,1.19
13,2,2748,2551,171,18,2,6,98,45,1.08
13,3,23822,17760,2106,796,3107,53,1477,340,1.83
13,4,2310,1353,470,148,334,5,270,13,1.97
14,1,4330,4043,256,9,13,9,217,38,1.08
14,2,3563,3285,215,15,40,8,298,29,1.12
14,3,62877,45000,6303,2925,8228,421,3696,900,1.95
14,4,4944,3707,499,138,581,19,585,57,1.93
15,1,9648,8565,1028,18,10,27,169,82,1.12
15,2,4534,4352,140,5,18,19,122,33,1.06
15,3,119262,98481,9731,2530,8049,471,3675,1305,1.51
15,4,12832,9559,2445,151,507,170,507,276,1.45
16,1,1093,921,165,1,6,0,26,9,1.18
16,2,1110,938,166,2,3,1,103,10,1.17
16,3,13222,9983,1431,465,1292,51,551,143,1.68
16,4,1556,715,631,49,157,4,120,28,1.96
17,1,1193,1041,148,1,2,1,19,5,1.13
17,2,400,320,72,3,5,0,32,1,1.25
17,3,15211,10429,2086,874,1779,43,864,180,1.78
17,4,1317,701,336,110,166,4,42,39,2.00
18,1,865,801,49,8,7,0,16,2,1.11
18,2,1221,1149,52,7,9,4,97,6,1.09
18,3,12614,9179,1285,748,1352,50,516,151,1.69
