1,1,512,138
2,1,965,445
3,1,331,90
4,1,657,74
5,1,1367,388
6,1,345,62
7,1,4274,180
8,1,2056,294
9,1,1118,2208
10,1,1589,142
11,1,3798,719
12,1,3591,146
13,1,2984,329
14,1,4159,1162
15,1,5483,2546
16,1,1890,412
17,1,727,470
18,1,1041,91
19,1,2154,693
20,1,2887,171
21,1,4068,903
22,1,1222,328
23,1,572,151
24,1,2866,313
25,1,2195,193
26,1,1339,287
27,1,1927,128
28,1,1849,514
29,1,688,178
30,1,7302,607
31,1,967,305
32,1,1671,70
1,2,633,96
2,2,1375,313
3,2,377,62
4,2,742,58
5,2,1620,226
6,2,459,41
7,2,3630,146
8,2,2566,231
9,2,2113,1193
10,2,2417,72
11,2,4293,387
12,2,4158,119
13,2,3018,241
14,2,5313,589
15,2,6658,1148
16,2,1724,363
17,2,836,323
18,2,1132,59
19,2,2473,338
20,2,3287,130
21,2,4158,499
22,2,1307,194
23,2,720,136
24,2,3171,203
25,2,2507,167
26,2,1678,204
27,2,2007,100
28,2,2198,288
29,2,671,123
30,2,9148,371
31,2,1266,170
32,2,1825,78
1,3,304,55
2,3,469,174
3,3,139,37
4,3,281,45
5,3,422,156
6,3,146,24
7,3,760,86
8,3,808,113
9,3,906,514
10,3,873,51
11,3,1506,256
12,3,1710,76
13,3,1120,125
14,3,1696,326
15,3,3194,555
16,3,669,174
17,3,328,159
18,3,532,35
19,3,834,211
20,3,1295,80
21,3,1906,260
22,3,408,110
23,3,338,67
24,3,1559,124
25,3,831,103
26,3,610,110
27,3,685,72
28,3,610,149
29,3,315,55
30,3,3065,265
31,3,535,100
32,3,1105,50
1,4,18,1
2,4,47,3
3,4,13,0
4,4,17,0
5,4,55,2
6,4,11,0
7,4,22,0
8,4,43,1
9,4,83,6
10,4,30,0
11,4,50,0
12,4,52,0
13,4,28,0
14,4,135,18
15,4,158,0
16,4,27,0
17,4,21,4
18,4,15,0
19,4,71,6
20,4,7,0
21,4,51,4
22,4,20,1
23,4,21,0
24,4,47,4
25,4,49,0
26,4,67,3
27,4,24,0
28,4,62,0
29,4,21,0
30,4,119,0
31,4,50,0
32,4,38,2
