1,1,1,4391,330,136,2790,159,148,13,97,635,167,0,0,0,5
1,1,2,8540,480,176,6569,61,175,17,88,884,201,0,0,1,7
1,1,3,7992,201,127,5429,19,252,107,625,714,757,1,0,0,5
1,1,4,417,16,1,222,0,53,0,56,46,38,0,0,0,1
2,1,1,10126,1011,190,6150,101,550,33,565,1189,468,2,0,1,58
2,1,2,24300,1395,178,17616,51,1635,219,348,2259,749,1,0,0,179
2,1,3,18416,470,85,12648,0,297,316,2070,1389,1646,1,0,0,138
2,1,4,958,47,3,482,0,117,4,211,74,64,1,0,1,4
3,1,1,2380,209,63,1329,114,95,5,134,395,94,1,0,1,6
3,1,2,4289,249,84,3113,58,105,13,58,523,121,0,0,3,7
3,1,3,3799,111,38,2202,0,99,62,439,480,460,0,0,0,4
3,1,4,247,13,1,104,0,57,0,37,25,14,0,0,0,1
4,1,1,3323,225,265,1710,194,137,5,177,501,162,1,0,0,13
4,1,2,6711,354,330,4508,104,154,6,227,828,277,3,0,0,6
4,1,3,4581,124,144,2898,58,60,65,341,423,542,0,0,0,1
4,1,4,337,16,0,173,0,19,0,68,41,29,0,0,0,1
5,1,1,8304,790,494,5034,346,297,41,184,964,317,1,0,1,46
5,1,2,19873,1153,568,15472,62,538,216,325,1459,430,0,0,1,58
5,1,3,17437,416,116,11944,16,618,264,1540,1577,1656,2,0,0,80
5,1,4,756,47,4,374,0,66,4,146,97,61,0,0,1,23
6,1,1,2771,218,88,1657,107,149,4,108,379,110,1,0,0,5
6,1,2,5486,323,130,4339,36,111,4,65,460,70,0,0,0,25
6,1,3,4789,137,24,3046,4,88,61,536,471,496,0,0,0,14
6,1,4,185,11,0,96,0,21,0,54,17,9,0,0,0,0
7,1,1,8943,308,1126,3037,2979,462,8,227,629,221,0,0,1,91
7,1,2,11269,471,1077,6184,2456,134,69,103,625,212,1,0,3,23
7,1,3,5651,224,266,3338,440,60,70,238,415,556,0,0,0,77
7,1,4,296,21,1,136,0,38,1,35,38,28,0,0,0,4
8,1,1,9810,742,836,5955,552,286,21,242,1065,295,2,0,5,20
8,1,2,24430,1458,897,18461,348,428,434,289,1940,419,3,0,1,68
8,1,3,15464,445,321,9771,108,261,249,1598,1474,1556,0,0,0,43
8,1,4,670,39,4,342,0,93,1,105,76,58,0,0,0,3
9,1,1,32915,3104,127,19907,0,1856,82,1918,4827,1744,5,0,12,80
9,1,2,64761,3122,99,45373,0,5402,99,1419,7245,2537,39,0,7,215
9,1,3,57928,1296,72,33301,0,1933,1009,8055,6045,7358,20,0,2,230
9,1,4,2103,84,3,1247,0,198,1,282,223,166,0,0,0,9
10,1,1,6476,412,681,3280,519,313,11,326,882,140,4,0,2,36
10,1,2,15646,873,1020,10574,458,445,127,578,1595,208,0,0,2,32
10,1,3,11156,340,434,6596,99,511,133,1390,1138,1002,4,0,0,62
10,1,4,556,26,3,243,0,85,1,127,62,39,2,0,0,0
11,1,1,18044,1245,2106,11025,683,564,32,411,1655,569,1,0,2,48
11,1,2,38620,2142,2001,28611,370,1391,34,373,3069,810,2,0,7,109
11,1,3,25090,730,781,17291,146,547,300,1618,2161,1846,0,0,2,52
11,1,4,796,47,1,436,0,59,0,137,83,45,0,0,0,2
12,1,1,14655,1063,1448,8381,844,679,23,384,1493,594,8,0,0,24
12,1,2,30437,1598,1730,22012,731,633,33,718,2023,1452,11,0,2,50
12,1,3,19346,802,621,11708,353,519,299,2195,1389,2134,2,0,0,53
12,4,4,551,38,10,286,0,48,0,98,44,45,0,0,0,6
13,1,1,10005,644,1048,4571,1553,313,26,376,1144,489,0,0,0,20
13,1,2,22895,1223,1438,16152,555,239,37,455,1844,1272,0,0,29,31
13,1,3,15045,639,440,9133,171,280,287,1204,1305,1915,0,0,0,24
13,1,4,380,26,2,201,0,15,0,79,37,33,0,0,0,1
14,1,1,26146,2304,1440,15624,982,1524,51,1309,2960,636,14,0,4,73
14,1,2,47558,2727,2007,35771,389,1098,48,545,4290,1007,19,0,3,156
14,1,3,40411,1044,548,27280,256,1244,553,3541,3682,4003,6,0,0,190
14,1,4,2119,120,19,1222,0,274,4,334,193,141,2,0,0,14
15,1,1,40740,3688,3392,25011,713,2027,408,1726,3395,1635,7,0,36,205
15,1,2,92547,5743,1567,73715,358,2758,1352,1847,4556,2317,8,0,11,229
15,1,3,68016,3318,264,48158,135,1741,1820,6482,4233,5291,3,0,7,111
15,1,4,1906,143,9,1093,0,223,5,304,119,108,1,0,0,0
16,1,1,7872,687,406,4235,1060,256,10,319,816,202,1,0,2,37
16,1,2,14186,803,636,10263,534,343,31,330,922,502,0,0,1,64
16,1,3,9312,414,218,5937,172,207,141,705,886,940,1,0,1,28
16,1,4,351,21,2,209,0,27,0,61,24,25,0,0,0,2
17,1,1,6009,550,347,3765,98,183,26,291,729,206,1,0,0,20
17,1,2,12501,851,191,9998,45,142,23,113,865,382,1,0,4,2
17,1,3,10311,307,115,6861,15,256,163,1004,802,1032,2,0,0,23
17,1,4,312,21,2,167,0,34,1,50,17,29,0,0,0,0
18,1,1,4777,283,470,2847,311,218,10,175,500,118,0,0,1,3
18,1,2,8302,436,517,6188,177,127,57,102,664,155,0,0,2,5
18,1,3,8107,214,282,5266,40,221,91,725,752,814,0,0,0,30
18,1,4,229,13,1,152,0,23,0,33,22,16,0,0,0,4
19,1,1,17872,1581,646,10898,384,812,101,534,2573,629,3,0,13,95
19,1,2,35599,1928,688,26029,90,936,334,487,3299,2121,4,0,83,100
19,1,3,26383,812,101,16005,66,943,564,1996,2878,3177,10,0,7,215
19,1,4,1548,74,2,737,0,173,6,242,159,213,0,0,0,7
20,1,1,3149,139,175,1116,1005,173,14,202,296,149,1,0,2,16
20,1,2,4136,155,197,2208,934,81,10,102,299,198,1,0,1,11
