1,1,1,2187,738
1,1,3,160,0
1,2,1,5606,1125
1,2,2,13,0
1,2,3,62,0
1,3,1,2175,717
1,3,3,20,0
1,3,4,1960,50
1,3,5,653,0
2,1,1,4436,1755
2,1,2,149,0
2,1,3,101,0
2,2,1,14367,2950
2,2,2,477,0
2,2,3,51,0
2,3,1,7959,1874
2,3,4,2404,19
2,3,5,457,7
2,3,6,13,0
3,1,1,962,429
3,1,2,1,0
3,1,3,114,0
3,2,1,2593,574
3,2,2,30,0
3,2,3,58,0
3,3,1,893,400
3,3,4,740,0
3,3,5,197,0
3,3,6,10,0
4,1,1,1347,419
4,1,2,209,0
4,1,3,194,0
4,2,1,4076,627
4,2,2,135,0
4,2,3,104,0
4,3,1,749,536
4,3,3,58,0
4,3,4,1192,27
4,3,5,496,0
4,3,6,42,0
5,1,1,3536,1990
5,1,2,2,0
5,1,3,346,0
5,2,1,13229,2802
5,2,2,9,0
5,2,3,62,0
5,3,1,5598,1951
5,3,3,16,0
5,3,4,4108,110
5,3,5,268,0
5,3,6,25,0
6,1,1,1430,310
6,1,3,112,0
6,2,1,3984,477
6,2,2,8,0
6,2,3,36,0
6,3,1,1919,290
6,3,3,4,0
6,3,4,535,12
6,3,5,229,0
6,3,6,85,0
7,1,1,2569,872
7,1,2,722,0
7,1,3,2979,0
7,2,1,4276,1361
7,2,2,1624,0
7,2,3,2456,0
7,3,1,849,926
7,3,3,440,0
7,3,4,500,0
7,3,5,1311,0
7,3,6,18,0
8,1,1,5326,1234
8,1,2,230,1
8,1,3,552,0
8,2,1,16240,2189
8,2,2,927,2
8,2,3,348,0
8,3,1,4898,1258
8,3,3,108,0
8,3,4,2820,64
8,3,5,1003,0
8,3,6,49,0
9,1,1,9392,10642
9,2,1,31580,13843
9,2,2,49,0
9,3,1,18107,7136
9,3,4,6584,439
9,3,5,302,0
9,3,6,798,7
10,1,1,3211,659
10,1,2,91,0
10,1,3,519,0
10,2,1,10472,764
10,2,2,358,0
10,2,3,458,0
10,3,1,2866,559
10,3,3,99,0
10,3,4,2375,14
10,3,5,1206,0
10,3,6,10,0
11,1,1,9839,3257
11,1,2,34,0
11,1,3,684,0
11,2,1,26055,4459
11,2,2,91,0
11,2,3,377,0
11,3,1,6823,2923
11,3,3,146,0
11,3,4,3187,128
11,3,5,4984,25
11,3,6,2,0
12,1,1,7760,766
12,1,2,1303,0
12,1,3,844,0
12,2,1,19280,1167
12,2,2,3295,0
12,2,3,731,0
12,3,1,4391,740
12,3,3,353,0
12,3,4,4190,43
12,3,5,2949,2
12,3,6,14,0
13,1,1,3287,1525
13,1,2,807,0
13,1,3,1553,0
13,2,1,12762,2509
13,2,2,2318,0
13,2,3,556,0
13,3,1,3391,1325
13,3,3,171,0
13,3,4,1652,34
13,3,5,3157,0
13,3,6,14,0
14,1,1,12235,4725
14,1,2,104,0
14,1,3,982,0
14,2,1,31194,6210
14,2,2,373,0
14,2,3,390,0
14,3,1,14488,3504
14,3,3,256,0
14,3,4,7360,271
14,3,5,2174,0
14,3,6,27,4
15,1,1,17908,9980
15,1,2,515,0
15,1,3,713,0
15,2,1,62955,11457
15,2,2,870,0
15,2,3,358,0
15,3,1,28018,5959
15,3,3,135,0
15,3,4,9017,307
15,3,5,5048,35
