1,5,2623,2453,122,33,15,1.09
1,6,5897,5500,373,20,4,1.07
1,7,3961,2735,972,197,57,1.39
1,8,238,231,7,0,0,1.03
1,2,260,241,19,0,0,1.07
1,9,598,595,3,0,0,1.01
1,10,1057,0,716,247,94,2.44
2,5,6388,5646,680,27,35,1.14
2,6,14566,9823,4626,97,20,1.34
2,7,9097,5820,2780,414,83,1.43
2,8,414,338,76,0,0,1.18
2,2,718,529,186,3,0,1.27
2,9,1071,1034,36,1,0,1.04
2,10,1733,0,1376,285,72,2.27
3,5,1428,1345,79,3,1,1.06
3,6,3023,2778,244,1,0,1.08
3,7,1876,1446,394,32,4,1.25
3,8,138,132,6,0,0,1.04
3,2,227,218,9,0,0,1.04
3,9,556,523,32,1,0,1.06
3,10,359,0,302,48,9,2.19
4,5,2034,2000,27,7,0,1.02
4,6,4638,4374,263,1,0,1.06
4,7,2446,1941,435,67,3,1.24
4,8,173,170,3,0,0,1.02
4,2,279,245,34,0,0,1.12
4,9,659,636,22,1,0,1.04
4,10,519,0,407,82,30,2.29
5,5,5628,5465,159,3,1,1.03
5,6,14117,12478,1482,121,36,1.13
5,7,9099,6574,2180,302,43,1.32
5,8,398,391,7,0,0,1.02
5,2,1084,953,131,0,0,1.12
5,9,1632,1529,99,4,0,1.07
5,10,2149,0,1602,425,122,2.34
6,5,1574,1458,75,19,22,1.12
6,6,3665,3084,527,44,10,1.18
6,7,2031,1296,564,141,30,1.46
6,8,85,83,2,0,0,1.02
6,2,253,238,15,0,0,1.06
6,9,352,335,16,1,0,1.05
6,10,599,0,392,129,78,2.57
7,5,4543,4484,46,12,1,1.02
7,6,7440,7415,25,0,0,1.00
7,7,3531,3406,122,3,0,1.04
7,8,192,192,0,0,0,1.00
7,2,172,167,5,0,0,1.03
7,9,1226,1219,7,0,0,1.01
7,10,426,0,367,57,2,2.14
8,5,6258,6015,165,48,30,1.06
8,6,17659,16123,1427,92,17,1.09
8,7,8335,6646,1564,116,9,1.22
8,8,383,374,9,0,0,1.02
8,2,1001,972,29,0,0,1.03
8,9,1892,1835,57,0,0,1.03
8,10,2039,0,1506,378,155,2.36
9,5,19933,18184,1470,165,114,1.11
9,6,41056,33686,7144,184,42,1.19
9,7,28259,22424,5491,324,20,1.22
9,8,1318,1273,44,1,0,1.03
9,2,2470,2094,376,0,0,1.15
9,9,3392,3248,142,2,0,1.04
9,10,5487,0,4427,798,262,2.26
10,5,4010,3858,67,38,47,1.08
10,6,11147,10335,796,12,4,1.07
10,7,6466,5623,780,57,6,1.14
10,8,305,302,3,0,0,1.01
